round,year,home,away,home_elo_2009,away_elo_2009,home_injuries_top5,home_injuries_top10,away_injuries_top5,away_injuries_top10,home_odds_open,home_odds_win_prob_close,home_season,standing_away,standing_home,thurs_fri,sat,sun,evening,margin,home_win,home_injuries_95th_to_90th,away_injuries_95th_to_90th,expected_margin
7,2013,Hawthorn,Sydney,1649.0664,1600.304161,0,0,0,0,1.67,0.654761905,Hawthorn_2013,5,3,0,1,0,1,37,1,0,0,14.5
7,2013,Western Bulldogs,North Melbourne,1450.912297,1502.321542,0,0,0,0,8.2,0.109358162,Western Bulldogs_2013,12,16,0,1,0,0,-54,0,0,0,-37.5
7,2013,Brisbane Lions,West Coast,1407.673401,1519.978582,0,0,0,0,4.5,0.223670105,Brisbane Lions_2013,10,15,0,1,0,0,-26,0,0,0,-22.5
7,2013,Port Adelaide,Richmond,1360.188645,1415.622173,0,0,0,1,1.75,0.613296813,Port Adelaide_2013,7,4,0,1,0,0,-41,0,0,1,10.5
7,2013,Geelong,Essendon,1719.02628,1488.045854,0,0,0,0,1.65,0.58663524,Geelong_2013,2,1,1,0,0,1,28,1,0,0,7.5
6,2013,West Coast,Western Bulldogs,1513.831377,1457.059501,0,0,0,0,1.08,0.956865465,West Coast_2013,16,10,0,0,1,0,70,1,0,0,60.5
6,2013,Carlton,Melbourne,1561.61335,1335.430934,0,0,0,0,1.03,0.968198718,Carlton_2013,17,8,0,0,1,0,61,1,0,0,69.5
6,2013,Sydney,Brisbane Lions,1596.022868,1411.954693,0,0,0,0,1.1,0.920778092,Sydney_2013,14,4,0,0,1,0,60,1,0,0,43.5
6,2013,Gold Coast,Fremantle,1335.784073,1479.53448,0,0,0,1,3.27,0.345238095,Gold Coast_2013,6,13,0,1,0,1,-45,0,0,1,-12.5
6,2013,Richmond,Geelong,1418.668992,1715.97946,0,0,0,0,3.1,0.318890735,Richmond_2013,2,9,0,1,0,1,-44,0,0,0,-16.5
6,2013,Adelaide,Hawthorn,1523.5586,1646.52016,0,0,0,0,4.46,0.185983209,Adelaide_2013,5,12,0,1,0,0,-11,0,0,0,-26.5
6,2013,North Melbourne,Port Adelaide,1499.807506,1362.702681,0,0,0,0,1.4,0.697377225,North Melbourne_2013,3,11,0,1,0,0,10,1,0,0,17.5
6,2013,Essendon,GWS Giants,1483.945796,1367.248115,0,0,0,0,1.01,0.977902729,Essendon_2013,18,1,0,1,0,0,39,1,0,0,92.5
6,2013,Collingwood,St Kilda,1675.895424,1614.441989,0,0,0,0,1.18,0.782670146,Collingwood_2013,15,7,1,0,0,1,26,1,0,0,25.5
